connected_node	count	frequency
AREG	493	0.003173377
TRAPPC3	491	0.003160503
PPP2R2A	487	0.003134756
APBB2	485	0.003121882
CRK	485	0.003121882
EPS15	484	0.003115445
EXOC3	483	0.003109008
ARHGEF5	479	0.003083261
ANKS1B	468	0.003012455
TUBB2A	467	0.003006018
FBXO25	463	0.002980271
PTK6	462	0.002973834
APBA3	461	0.002967397
APBB3	452	0.002909465
SPRY2	446	0.002870844
PTRF	444	0.00285797
SNX6	439	0.002825786
TUBA4A	435	0.002800039
CRKL	434	0.002793602
CD44	432	0.002780728
IRS2	429	0.002761417
TJP1	424	0.002729233
UBASH3B	423	0.002722796
PTPN11	422	0.002716359
P4HB	416	0.002677738
PIK3R1	413	0.002658427
DNAJA3	404	0.002600496
ARF4	403	0.002594059
CDH1	398	0.002561874
FBXO6	397	0.002555438
ATXN2	396	0.002549001
BCLAF1	387	0.002491069
IRS4	387	0.002491069
VAV2	383	0.002465321
AP2M1	380	0.002446011
BAG2	378	0.002433137
APPL1	372	0.002394516
AP2B1	365	0.002349458
PPP6C	363	0.002336584
ATR	356	0.002291526
EPRS	354	0.002278652
EXOC8	351	0.002259342
ABL1	341	0.002194973
CSE1L	339	0.002182099
RANGAP1	339	0.002182099
HEATR3	338	0.002175662
IPO5	331	0.002130604
RBM10	330	0.002124167
BZW2	329	0.00211773
IQGAP3	328	0.002111293
JAK1	327	0.002104857
RANBP1	326	0.00209842
TNPO3	326	0.00209842
SGPL1	324	0.002085546
DOK4	318	0.002046925
PEX19	318	0.002046925
TIMM50	315	0.002027614
MTOR	312	0.002008304
ACTA2	311	0.002001867
NDFIP2	305	0.001963245
BIRC2	304	0.001956809
SH2D1A	301	0.001937498
PPARGC1A	300	0.001931061
BIRC3	299	0.001924624
PFKP	299	0.001924624
GCN1L1	296	0.001905314
XPO5	294	0.00189244
XPO4	292	0.001879566
TNPO2	290	0.001866692
GEMIN4	289	0.001860256
PRKCB	288	0.001853819
CALU	287	0.001847382
TGFA	286	0.001840945
TUBB6	286	0.001840945
MARS	284	0.001828071
PTK2B	283	0.001821634
ERRFI1	279	0.001795887
CTGF	278	0.00178945
SMC2	277	0.001783013
JUP	276	0.001776576
STAT5A	272	0.001750829
JAK2	270	0.001737955
GEMIN6	269	0.001731518
RARS	269	0.001731518
RCN2	268	0.001725081
STRAP	268	0.001725081
SH2B3	263	0.001692897
ANKRD13A	262	0.00168646
RIN2	258	0.001660713
EXOC4	255	0.001641402
TAB1	252	0.001622091
LRSAM1	251	0.001615654
SLC39A11	249	0.001602781
TNK2	241	0.001551286
LGALS1	240	0.001544849
STAM2	232	0.001493354
TLN1	232	0.001493354
ERBB2	229	0.001474043
WDR26	227	0.00146117
PLCG1	224	0.001441859
DARS	221	0.001422548
PTPN1	215	0.001383927
PPP2R1B	214	0.00137749
HBA1	213	0.001371053
ERBB4	210	0.001351743
IPO7	206	0.001325995
RIPK1	204	0.001313122
SEC61A1	196	0.001261627
GAB1	194	0.001248753
SOS1	193	0.001242316
CBLB	189	0.001216569
RNF126	177	0.001139326
XPO7	177	0.001139326
USP8	174	0.001120015
SOCS1	172	0.001107142
VAV1	164	0.001055647
ABL2	163	0.00104921
IPO8	158	0.001017026
ATXN10	155	0.000997715
AP2A1	154	0.000991278
RIN1	152	0.000978404
EPS8	151	0.000971967
MYCBP	149	0.000959094
XPOT	149	0.000959094
NCK2	146	0.000939783
FES	142	0.000914036
WAS	140	0.000901162
MUC1	139	0.000894725
CD2AP	136	0.000875414
SYNGAP1	133	0.000856104
NCDN	132	0.000849667
FDPS	131	0.00084323
CBLC	123	0.000791735
PTPN6	122	0.000785298
HEATR2	121	0.000778861
GRAP2	120	0.000772424
SOS2	120	0.000772424
MPV17	117	0.000753114
TELO2	115	0.00074024
IPO11	114	0.000733803
AP1M1	113	0.000727366
PICALM	111	0.000714493
CAV3	109	0.000701619
INPPL1	109	0.000701619
NUMBL	109	0.000701619
SPTLC1	108	0.000695182
EXOC7	107	0.000688745
ARL1	106	0.000682308
ALDH3A2	105	0.000675871
CISH	104	0.000669435
NCAM1	104	0.000669435
TECR	104	0.000669435
ANKS1A	102	0.000656561
OS9	102	0.000656561
PLD2	102	0.000656561
TOM1L1	101	0.000650124
HSD17B12	100	0.000643687
NCK1	100	0.000643687
IPO13	96	0.00061794
AP1G2	93	0.000598629
TNPO1	93	0.000598629
ARMC8	91	0.000585755
HOOK2	90	0.000579318
PIK3R3	90	0.000579318
MAP3K14	89	0.000572881
EPN1	88	0.000566445
SNX2	87	0.000560008
FDFT1	85	0.000547134
PLAA	85	0.000547134
DCN	80	0.00051495
RABGEF1	78	0.000502076
RGS16	75	0.000482765
SEC61B	75	0.000482765
ATP6V1H	74	0.000476328
DNAJB12	73	0.000469892
PPP6R1	73	0.000469892
TTC27	73	0.000469892
THADA	70	0.000450581
DOK2	68	0.000437707
SNX4	66	0.000424833
TTI1	66	0.000424833
LGALS8	65	0.000418397
SH2D2A	63	0.000405523
DOCK4	62	0.000399086
EGF	62	0.000399086
COG1	58	0.000373338
PIK3C2B	58	0.000373338
EXOC5	54	0.000347591
ACOT9	53	0.000341154
COG6	52	0.000334717
XPO6	52	0.000334717
EIF2B3	51	0.00032828
MAP4K1	50	0.000321844
PDGFRB	50	0.000321844
COG5	49	0.000315407
KIAA1524	49	0.000315407
PLCG2	49	0.000315407
ERBB3	48	0.00030897
KIAA1244	47	0.000302533
SOCS4	46	0.000296096
LTN1	44	0.000283222
SEL1L	43	0.000276785
SLA	43	0.000276785
SH2B1	41	0.000263912
NUP85	40	0.000257475
NDFIP1	38	0.000244601
PTPN23	38	0.000244601
AP1G1	37	0.000238164
TRPV1	37	0.000238164
GBF1	36	0.000231727
ITIH2	36	0.000231727
SGSM2	36	0.000231727
COG4	35	0.00022529
CASP1	33	0.000212417
BLK	32	0.00020598
HBEGF	30	0.000193106
CHMP4A	29	0.000186669
OTUD7B	29	0.000186669
RBM41	29	0.000186669
SHC3	29	0.000186669
RNF213	28	0.000180232
ZFYVE28	28	0.000180232
SH3BGRL	26	0.000167359
DOK5	25	0.000160922
PIK3CB	25	0.000160922
CD82	24	0.000154485
GRB14	24	0.000154485
ROS1	24	0.000154485
VAV3	24	0.000154485
COG7	23	0.000148048
SH2D3A	23	0.000148048
ARFGEF1	20	0.000128737
SAAL1	20	0.000128737
TPP1	20	0.000128737
MON2	19	0.000122301
UBASH3A	19	0.000122301
PPP2R3A	16	0.00010299
TBRG4	16	0.00010299
DFNA5	15	9.65531E-05
LRIG1	15	9.65531E-05
FER	12	7.72424E-05
NCAPH2	11	7.08056E-05
PTPRJ	11	7.08056E-05
TNS4	10	6.43687E-05
CAMLG	9	5.79318E-05
SHC2	9	5.79318E-05
NCAPG2	8	5.1495E-05
AP1S1	7	4.50581E-05
CCDC50	4	2.57475E-05
ANKRD13B	3	1.93106E-05
NRG1	3	1.93106E-05
DOK6	2	1.28737E-05
NBEAL2	2	1.28737E-05
CLNK	1	6.43687E-06
DDX60	1	6.43687E-06
DOPEY2	1	6.43687E-06
EREG	1	6.43687E-06
EXOC6B	1	6.43687E-06
KRT86	1	6.43687E-06
NLRP10	1	6.43687E-06
ODF3L2	1	6.43687E-06
